Annexe.4: Tbleaux des r?sultats: TRE et MCS 2013  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TABLEAU DES RESSOURCES ET DES EMPLOIS (TRE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANNEE 2013  (en millions de DH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T11:       TABLEAU DES RESSOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ressources en produits,,Total des ressources ? prix d'acquisi-tion,Marges  de commerce,Marges  de transport,TVA non d?ductible,Subven-tions sur les produits,Autres taxes sur les produits,Imp?ts sur les impor-tations,Total des ressources ? prix de base,,Agriculture, for?t,P?che et aquaculture,Industries d'extraction,Industrie alimentaire et tabac,Industrie du textile et du cuire,Industrie chimique et para chimique,"Industrie m?canique, m?tallurgique et ?lectrique",Autres industries manufacturi?res, Eau,B?timent et travaux publics,Commerce et r?parations,H?tels et restaurants,Transport ferroviaire? ,Transport routier ,Transport maritime ,Transport a?rien ,Autres transports. ,Postes et t?l?communications,Activit?s financi?res et assurances,"Immobilier, location et services rendus aux entreprises",Administration publique g?n?rale et s?curit? sociale,"Education, sante et action sociale",Autres services non financiers,Total des branches,Ajustement CAF /FAB,Importations,,,,,,,
l,CODE MM,R1,R2,R3,R4,R5,R6,R8,R10,CODE MM,BA01,BA03,BB05,BC00,BD01,BD02,BD03,BD04,BD05,BE20,BF45,BG00,BH55,BI11,BI12,BI13,BI14,BI15,BI20,BJ00,BK00,BL75,BMN0,BOP0,Total des branches,Ajustement CAF /FAB,Impor-tations,,,,,,,
Agriculture,PA010,204495,20755,712,,-1637,,2749,181916,PA010,163286,21,,,375,5,98,,,,,,,,,,,,,,4,,,,163789,,18127,,0,,,,,
Autres produits de la for?t,PA309,2550,98,,,,,,2452,PA309,,1322,,,85,,,,,,,,,,,,,,,,,941,,,2348,,104,,,,,,,
P?che et aquaculture,PB050,13826,2849,257,421,,,7,10292,PB050,,,9284,,405,,,,1,,2,,,,,,,,,,,,,,9692,,600,,,,,,,
Autres produits des industries d?extraction ,PC019,45953,1714,1314,485,,,1,42439,PC019,0,,,36906,,,,,551,,,,,,,,,,,,,,,,37474,,4965,,,,,,,
Industrie alimentaire et tabac,PD010,217294,16117,808,7208,-5153,9466,1334,187514,PD010,658,,3185,,155957,,299,,24,,,2090,373,,,,,,,,,,,,162586,,24928,,,,,,,
Industrie de textile et cuir,PD020,88401,6547,375,3333,,,545,77601,PD020,,,,,,50875,,,898,,,63,,,,,,,,,7,,,,51843,,25758,,,,,,,
Autres Industrie chimique et para chimique,PD039,99095,6973,747,2230,,,156,88989,PD039,706,,,,542,7,49633,13,367,,,679,,,,,,,,,,13,,,51960,,37029,,,,,,,
"Industrie m?canique, m?tallurgique",PD040,283957,28558,1639,7621,,9,1699,244431,PD040,,,,,54,26,493,106075,517,,12,2618,,,,,,,,,,,7,,109802,,134629,,,,,,,
Autres industries manufacturi?res,PD050,123521,11066,1348,3951,,2188,680,104288,PD050,,,,67,131,271,428,1376,68253,,49,615,,,,,,,,,50,44,,32,71316,,32972,,,,,,,
Eau ,PE200,7994,,,524,,,,7470,PE200,762,,,,,,,,,6460,243,,,,,,,,,,,,,,7465,,5,,,,,,,
B?timent et travaux publics,PF450,143762,,,18031,,,,125731,PF450,,,,14,13,4,101,32,43,292,122534,1430,64,642,,,,,,,1,558,3,,125731,,0,,,,,,,
Commerce et r?parations,PG000,11367,-100592,,1543,,,,110416,PG000,,,33,56,1925,239,2297,1616,876,,362,101014,204,3,72,92,14,38,169,148,215,,1021,22,110416,0,0,,,,,,,
H?tels et restaurants,PH550,36021,,,2506,,,,33515,PH550,,,,,425,,,,,,,331,30595,135,,,,,,,2,,15,155,31658,,1857,,,,,,,
